"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R23","RESC1608N","1775mil","1780mil","1775mil","1780mil","1808.465mil","1780mil","T","180.00","1608"
"USB5","uUSB","1116.85mil","1310mil","1170mil","1310mil","1170mil","1361.181mil","T","270.00","10118194-0001LF"
"GND4","4mmPlug","3496.181mil","3010mil","3195mil","3010mil","3195mil","3010mil","T","360.00","GND"
"VBAT4","4mmPlug","3496.181mil","1195mil","3195mil","1195mil","3195mil","1195mil","T","360.00","VBAT OUT"
"P1","HDR2X5","3490mil","1835mil","3440mil","2035mil","3440mil","2035mil","T","270.00","Header 5X2"
"U3","NSO8_N","1955mil","1635mil","1955mil","1635mil","2049.488mil","1560mil","T","180.00","MAX17602AS"
"R2","RESC1608N","1380mil","1430mil","1380mil","1430mil","1413.465mil","1430mil","T","180.00","1608"
"R1","RESC1608N","1775mil","1605mil","1775mil","1605mil","1775mil","1571.535mil","T","90.00","1608"
"C4","RESC1608N","1955mil","1775mil","1955mil","1775mil","1988.465mil","1775mil","T","180.00","1608"
"C15","RESC1608N","2600mil","1470mil","2600mil","1470mil","2633.465mil","1470mil","T","180.00","1608"
"R15","RESC1608N","2165mil","1635mil","2165mil","1635mil","2198.465mil","1635mil","T","180.00","1608"
"R16","RESC1608N","2165mil","1685mil","2165mil","1685mil","2131.535mil","1685mil","T","360.00","1608"
"R18","RESC1608N","2365mil","1460mil","2365mil","1460mil","2365mil","1493.465mil","T","270.00","1608"
"R19","RESC1608N","2425mil","1460mil","2425mil","1460mil","2425mil","1426.535mil","T","90.00","1608"
"R20","RESC1608N","2780mil","1555mil","2780mil","1555mil","2780mil","1521.535mil","T","90.00","1608"
"R21","RESC1608N","2780mil","1670mil","2780mil","1670mil","2780mil","1636.535mil","T","90.00","1608"
"U8","NSO8_N","2599mil","1605mil","2599mil","1605mil","2693.488mil","1530mil","T","180.00","MAX17602AS"
"U11","AD5242_TSSOP","2990mil","2300mil","2990mil","2300mil","3079.567mil","2416.142mil","T","270.00","AD5242BRUZ1M"
"R40","RESC1608N","3145mil","2445mil","3145mil","2445mil","3145mil","2411.535mil","T","90.00","1608"
"R41","RESC1608N","3145mil","2320mil","3145mil","2320mil","3145mil","2353.465mil","T","270.00","1608"
"P4","HDR1X3","1155mil","1540mil","1055mil","1540mil","1055mil","1540mil","T","360.00","Header 3"
"R50","RESC1608N","2875mil","2750mil","2875mil","2750mil","2908.465mil","2750mil","T","180.00","1608"
"RT1","RESC4532N","1260mil","1710mil","1260mil","1710mil","1260mil","1631.26mil","T","90.00","Polyfuse"
"R102","RESC1608N","2625mil","3744.999mil","2624.999mil","3744.999mil","2591.535mil","3744.999mil","T","360.00","1608"
"R101","RESC1608N","1910mil","5089.999mil","1909.999mil","5089.999mil","1876.535mil","5089.999mil","T","360.00","1608"
"R103","RESC1608N","2625mil","3684.999mil","2624.999mil","3684.999mil","2591.535mil","3684.999mil","T","360.00","1608"
"C102","RESC1608N","2874.999mil","4195mil","2874.999mil","4194.999mil","2874.999mil","4161.535mil","T","90.00","1608"
"C101","RESC1608N","1950mil","5139.999mil","1949.999mil","5139.999mil","1916.535mil","5139.999mil","T","360.00","1608"
"U101","INF-PG-TO263-3-2_N","2980.708mil","4399.999mil","3024.999mil","4399.999mil","2784.842mil","4499.999mil","T","360.00","BTS117TC"
